file	total_intensity	mean_intensity	pixel_count	green_puncta_count	green_total_area	mito_num_mito_objects	mito_mean_area	mito_median_area	mito_num_skel_segments	mito_mean_skel_length	mito_median_skel_length	mito_total_skel_length	mito_mean_distance_to_cell_center	mito_lacunarity
LPS_Op_NoTrogo_2.tif	408650.0	3.568746288468928	114508	57	1318.0	31	780.4193548387096	414.0	31	107.2258064516129	55.0	3324.0	109.46474870081066	{4: 20.059118639509784, 8: 16.231466516380756, 16: 11.653330264129618, 32: 8.428613547838209}
LPS_Op_NoTrogo_2_Z1.tif	941040.0	5.852238805970149	160800	43	1288.0	37	787.918918918919	442.0	37	90.62162162162163	46.0	3353.0	155.6076121954292	{4: 17.03969424530377, 8: 14.112936696957716, 16: 10.212408777786347, 32: 7.238138574463614}
LPS_Op_NoTrogo_3.tif	336455.0	3.5155425526357034	95705	8	158.0	14	639.3571428571429	385.5	14	77.14285714285714	37.0	1080.0	124.84155636163506	{4: 54.74641492659604, 8: 44.537766750378005, 16: 31.275031396098115, 32: 20.62083937642449}
LPS_Op_NoTrogo_4.tif	151210.0	2.101189483630704	71964	18	650.0	11	2158.090909090909	625.0	11	304.09090909090907	59.0	3345.0	104.222222599498	{4: 20.80089329128281, 8: 17.301138106892438, 16: 13.201690760088425, 32: 10.533386723667219}
LPS_Op_NoTrogo_Z1.tif	321986.0	3.259132547193684	98795	18	736.0	30	545.2	278.5	30	63.5	27.5	1905.0	121.36505795394957	{4: 30.229814839080124, 8: 24.90778316077396, 16: 18.01742750669856, 32: 12.735260320146118}
LPS_Op_TrogoPhago_2.tif	1623082.0	5.9671035458907005	272005	77	4639.0	90	530.7888888888889	309.5	90	64.6	32.5	5814.0	194.39552682902783	{4: 10.118621060171236, 8: 8.010752823026511, 16: 5.408210617659888, 32: 3.6447152060541104}
LPS_Op_TrogoPhago_3.tif	1342401.0	12.541232634834033	107039	71	6331.0	14	1225.9285714285713	557.0	14	158.0	57.5	2212.0	118.61410576714205	{4: 29.11605583840429, 8: 24.462252089861906, 16: 17.76565001804494, 32: 11.830799309297737}
LPS_Op_TrogoPhago_3_Z1.tif	1926761.0	28.402385093900175	67838	32	976.0	6	517.0	319.5	6	52.666666666666664	30.5	316.0	109.27476674768252	{4: 160.7826771747515, 8: 132.7622723226502, 16: 90.00639629690382, 32: 49.314890589252045}
LPS_Op_TrogoPhago_4.tif	1453567.0	6.539998560231803	222258	106	8771.0	87	493.735632183908	333.0	87	53.41379310344828	29.0	4647.0	221.9449901796002	{4: 11.491964178866507, 8: 9.381085276218911, 16: 6.604260695360064, 32: 4.485627653237746}
LPS_Op_TrogoPhago_5.tif	2192761.0	17.111160533133564	128148	75	6952.0	56	411.42857142857144	250.5	56	38.767857142857146	16.5	2171.0	128.52646671918924	{4: 21.543658821897875, 8: 17.710650157985583, 16: 12.371960516704352, 32: 8.002759600033487}
LPS_Op_TrogoPhago_Z1.tif	557955.0	4.2184629342607645	132265	75	5094.0	39	759.5641025641025	368.0	39	94.0	34.0	3666.0	144.02791869626574	{4: 16.554510484897413, 8: 13.465200026647238, 16: 9.751821307563288, 32: 7.156784552790614}
LPS_Op_Trogo_2.tif	1374229.0	11.48694351104201	119634	69	5328.0	39	470.3333333333333	293.0	39	52.82051282051282	26.0	2060.0	129.0744896185533	{4: 26.66602976784098, 8: 21.605507967759497, 16: 15.12476751925711, 32: 10.379962645475846}
LPS_Op_Trogo_3.tif	850011.0	5.217960601837926	162901	48	2706.0	30	687.0666666666667	462.0	30	81.9	50.0	2457.0	136.5435248293939	{4: 24.00466660835681, 8: 19.794964674185834, 16: 13.977660613613745, 32: 9.048032452362047}
LPS_Op_Trogo_4.tif	329140.0	2.318997829946735	141932	50	3117.0	28	295.82142857142856	164.0	28	34.67857142857143	17.5	971.0	96.22295226912622	{4: 58.01641626876322, 8: 46.2702907655533, 16: 31.300041425575643, 32: 20.670499281008034}
LPS_Op_Trogo_5.tif	92762.0	1.8089666335146941	51279	18	857.0	17	403.5882352941176	203.0	17	44.529411764705884	28.0	757.0	66.86306750254724	{4: 71.20630618019754, 8: 57.51179440430484, 16: 39.64819601352079, 32: 26.2144096697098}
LPS_Op_Trogo_Z1.tif	371493.0	3.309190190716277	112261	115	7499.0	5	2802.8	1008.0	5	405.0	139.0	2025.0	77.54585105538096	{4: 34.8261511663616, 8: 28.598421631488186, 16: 21.43809387738939, 32: 16.665896579796915}
