file	LPS_Op_NoTrogo_Z1.tif
total_intensity	321986.0
mean_intensity	3.259132547193684
pixel_count	98795
green_puncta_count	18
green_total_area	736.0
mito_num_mito_objects	30
mito_mean_area	545.2
mito_median_area	278.5
mito_num_skel_segments	30
mito_mean_skel_length	63.5
mito_median_skel_length	27.5
mito_total_skel_length	1905.0
mito_mean_distance_to_cell_center	121.36505795394957
mito_lacunarity	{4: 30.229814839080124, 8: 24.90778316077396, 16: 18.01742750669856, 32: 12.735260320146118}
